CustomerID,ProductID,QuantitySold,SalePrice,DateOfSale,Channel,ReturnStatus,Age,Gender,Region,Occupation,LoyaltyTier,Category,SubCategory,ManufacturingCost,SellingPrice,Discount,Stock,CampaignID,Medium,ConversionRate,CustomerReach
CUST0573,PROD069,4,586.76,2024-05-15,Online,Not Returned,44,Male,West,Lawyer,Gold,Electronics,Laptops,368.7,586.76,15,35,CAMP046,Email,0.23,700
CUST0842,PROD066,2,158.94,2024-11-10,Online,Returned,65,Other,East,Doctor,Silver,Clothing,Jackets,128.09,158.94,10,191,CAMP006,Print,0.3,4431
CUST0169,PROD021,1,697.73,2024-09-04,Offline,Not Returned,48,Female,East,Engineer,Silver,Clothing,Pants,455.74,697.73,5,125,CAMP043,Print,0.2,7690
CUST0821,PROD069,3,586.76,2025-01-08,Online,Returned,69,Other,West,Salesperson,Silver,Electronics,Laptops,368.7,586.76,15,35,CAMP032,Social Media,0.05,1064
CUST0231,PROD028,4,615.27,2025-02-27,Offline,Returned,39,Male,South,Artist,Gold,Beauty,Haircare,367.56,615.27,20,29,CAMP017,TV,0.26,3221
CUST0943,PROD043,4,707.97,2024-07-18,Offline,Returned,41,Other,South,Salesperson,Bronze,Beauty,Skincare,473.44,707.97,15,100,CAMP022,Print,0.16,2200
CUST0706,PROD004,2,510.3,2025-01-26,Online,Returned,26,Male,South,Artist,Platinum,Home,Furniture,316.46,510.3,15,134,CAMP019,TV,0.06,614
CUST0902,PROD088,2,351.57,2025-02-26,Online,Returned,35,Male,East,Teacher,Platinum,Books,Comics,288.51,351.57,20,32,CAMP021,Radio,0.12,1050
CUST0916,PROD071,3,579.47,2024-08-08,Online,Returned,20,Other,South,Engineer,Platinum,Electronics,Laptops,347.99,579.47,5,191,CAMP026,Radio,0.21,3744
CUST0406,PROD087,3,485.74,2024-01-05,Online,Not Returned,26,Male,South,Engineer,Gold,Beauty,Makeup,389.18,485.74,20,82,CAMP002,Radio,0.17,3223
CUST0254,PROD025,3,101.3,2025-01-05,Offline,Returned,31,Other,North,Doctor,Silver,Books,Fiction,65.6,101.3,15,153,CAMP002,Radio,0.17,3223
CUST0182,PROD034,3,188.89,2023-10-14,Online,Not Returned,40,Other,South,Artist,Bronze,Electronics,Laptops,141.09,188.89,20,123,CAMP001,TV,0.22,4310
CUST0203,PROD061,3,285.13,2023-12-07,Offline,Returned,38,Male,North,Teacher,Platinum,Books,Non-Fiction,149.78,285.13,0,91,CAMP029,Social Media,0.23,2626
CUST0218,PROD032,3,291.99,2025-05-08,Online,Returned,49,Other,North,Lawyer,Gold,Home,Decor,191.05,291.99,10,189,CAMP004,TV,0.03,5997
CUST0161,PROD043,4,707.97,2025-01-19,Online,Returned,62,Male,South,Lawyer,Silver,Beauty,Skincare,473.44,707.97,15,100,CAMP029,Social Media,0.23,2626
CUST0051,PROD030,3,435.32,2023-12-22,Online,Not Returned,26,Male,West,Artist,Bronze,Clothing,Jackets,360.08,435.32,15,33,CAMP035,Radio,0.09,5354
CUST0971,PROD087,4,485.74,2025-02-27,Offline,Not Returned,37,Male,South,Artist,Bronze,Beauty,Makeup,389.18,485.74,20,82,CAMP020,TV,0.2,1925
CUST0250,PROD082,3,319.75,2023-08-14,Offline,Not Returned,60,Female,South,Artist,Gold,Home,Furniture,186.9,319.75,10,44,CAMP018,Email,0.13,6854
CUST0561,PROD090,1,704.66,2024-11-25,Offline,Not Returned,38,Male,East,Lawyer,Silver,Clothing,Jackets,419.44,704.66,15,112,CAMP012,Radio,0.28,1905
CUST0546,PROD054,1,608.33,2025-04-08,Offline,Not Returned,60,Other,South,Engineer,Platinum,Clothing,Jackets,394.54,608.33,10,151,CAMP004,TV,0.03,5997
CUST0851,PROD004,2,510.3,2024-01-10,Online,Returned,38,Female,East,Doctor,Gold,Home,Furniture,316.46,510.3,15,134,CAMP042,Print,0.21,6266
CUST0731,PROD043,1,707.97,2023-09-25,Online,Returned,58,Male,East,Salesperson,Bronze,Beauty,Skincare,473.44,707.97,15,100,CAMP015,Email,0.09,919
CUST0974,PROD063,2,356.74,2024-09-21,Online,Returned,24,Female,North,Teacher,Bronze,Books,Comics,220.53,356.74,20,30,CAMP046,Email,0.23,700
CUST0791,PROD094,2,534.34,2024-02-21,Online,Returned,22,Female,South,Engineer,Platinum,Books,Comics,418.25,534.34,5,153,CAMP009,Social Media,0.14,9369
CUST0944,PROD050,3,51.51,2023-09-11,Online,Returned,54,Female,East,Artist,Platinum,Clothing,Shirts,26.76,51.51,10,128,CAMP036,Email,0.16,7271
CUST0328,PROD035,3,721.63,2025-02-27,Online,Not Returned,33,Other,South,Lawyer,Bronze,Electronics,Laptops,446.77,721.63,20,139,CAMP031,TV,0.15,6584
CUST0018,PROD041,4,351.46,2024-10-06,Offline,Returned,41,Male,West,Salesperson,Silver,Books,Non-Fiction,195.31,351.46,20,183,CAMP048,TV,0.13,6770
CUST0598,PROD033,4,64.7,2024-12-18,Offline,Not Returned,65,Male,South,Teacher,Platinum,Clothing,Jackets,46.34,64.7,10,11,CAMP012,Radio,0.28,1905
CUST0460,PROD006,1,714.55,2025-06-09,Offline,Not Returned,56,Male,East,Lawyer,Silver,Beauty,Skincare,369.85,714.55,0,159,CAMP046,Email,0.23,700
CUST0838,PROD073,1,650.33,2023-10-16,Online,Not Returned,41,Male,South,Salesperson,Bronze,Electronics,Laptops,346.79,650.33,15,188,CAMP026,Radio,0.21,3744
CUST0321,PROD046,1,917.26,2025-04-23,Online,Not Returned,51,Male,South,Teacher,Bronze,Clothing,Jackets,489.42,917.26,10,188,CAMP046,Email,0.23,700
CUST0708,PROD071,2,579.47,2025-01-25,Offline,Returned,52,Other,North,Teacher,Silver,Electronics,Laptops,347.99,579.47,5,191,CAMP046,Email,0.23,700
CUST0828,PROD048,1,367.73,2024-05-10,Online,Not Returned,26,Female,South,Artist,Gold,Books,Fiction,247.04,367.73,20,124,CAMP044,Radio,0.12,8434
CUST0412,PROD094,4,534.34,2024-06-29,Offline,Not Returned,61,Other,South,Engineer,Bronze,Books,Comics,418.25,534.34,5,153,CAMP011,Social Media,0.28,538
CUST0804,PROD026,3,67.9,2024-10-17,Offline,Not Returned,42,Male,South,Artist,Bronze,Home,Furniture,44.75,67.9,20,143,CAMP012,Radio,0.28,1905
CUST0434,PROD080,3,432.62,2024-08-15,Online,Returned,59,Male,North,Lawyer,Silver,Books,Comics,322.14,432.62,5,53,CAMP031,TV,0.15,6584
CUST0637,PROD012,1,16.62,2023-08-16,Online,Returned,56,Female,East,Teacher,Bronze,Clothing,Pants,9.24,16.62,20,179,CAMP047,Print,0.23,724
CUST0577,PROD010,1,418.52,2024-10-23,Online,Returned,29,Other,South,Doctor,Gold,Books,Non-Fiction,232.85,418.52,0,166,CAMP022,Print,0.16,2200
CUST0041,PROD038,4,10.99,2023-08-04,Online,Not Returned,47,Male,South,Doctor,Silver,Clothing,Shirts,8.08,10.99,0,14,CAMP015,Email,0.09,919
CUST0458,PROD040,2,736.86,2024-11-20,Online,Returned,59,Male,South,Doctor,Silver,Home,Decor,409.45,736.86,0,106,CAMP013,TV,0.09,7006
CUST0194,PROD005,4,319.66,2023-10-19,Offline,Returned,60,Male,South,Salesperson,Platinum,Electronics,Laptops,234.05,319.66,5,196,CAMP044,Radio,0.12,8434
CUST0781,PROD037,3,406.67,2023-08-01,Online,Not Returned,64,Female,East,Artist,Gold,Electronics,Phones,322.86,406.67,0,127,CAMP019,TV,0.06,614
CUST0803,PROD048,1,367.73,2024-12-23,Online,Not Returned,32,Other,North,Lawyer,Platinum,Books,Fiction,247.04,367.73,20,124,CAMP020,TV,0.2,1925
CUST0777,PROD026,1,67.9,2023-11-17,Offline,Not Returned,40,Other,East,Lawyer,Platinum,Home,Furniture,44.75,67.9,20,143,CAMP049,Email,0.24,8586
CUST0800,PROD068,4,388.11,2025-04-22,Online,Returned,18,Male,West,Salesperson,Platinum,Home,Decor,207.88,388.11,5,11,CAMP007,Print,0.2,1339
CUST0679,PROD021,1,697.73,2024-06-24,Offline,Not Returned,33,Male,South,Salesperson,Gold,Clothing,Pants,455.74,697.73,5,125,CAMP040,Email,0.11,1738
CUST0663,PROD069,3,586.76,2024-04-21,Offline,Not Returned,68,Male,South,Salesperson,Silver,Electronics,Laptops,368.7,586.76,15,35,CAMP029,Social Media,0.23,2626
CUST0414,PROD072,1,458.6,2024-05-26,Online,Not Returned,48,Male,North,Teacher,Bronze,Electronics,Phones,302.12,458.6,0,170,CAMP034,Email,0.1,8195
CUST0209,PROD038,3,10.99,2024-01-28,Offline,Returned,22,Other,South,Teacher,Platinum,Clothing,Shirts,8.08,10.99,0,14,CAMP004,TV,0.03,5997
CUST0674,PROD092,1,974.53,2023-06-25,Offline,Not Returned,29,Female,South,Engineer,Bronze,Home,Kitchen,490.72,974.53,20,15,CAMP029,Social Media,0.23,2626
CUST0581,PROD062,3,621.93,2023-09-17,Online,Not Returned,21,Other,South,Salesperson,Gold,Home,Kitchen,393.31,621.93,20,121,CAMP024,Email,0.05,8351
CUST0726,PROD020,4,451.18,2024-07-12,Online,Returned,53,Other,South,Lawyer,Gold,Beauty,Skincare,270.78,451.18,20,88,CAMP047,Print,0.23,724
CUST0759,PROD082,3,319.75,2024-12-08,Offline,Not Returned,49,Female,East,Engineer,Gold,Home,Furniture,186.9,319.75,10,44,CAMP002,Radio,0.17,3223
CUST0762,PROD056,1,472.34,2025-02-05,Offline,Returned,41,Other,South,Salesperson,Silver,Beauty,Skincare,334.61,472.34,0,27,CAMP034,Email,0.1,8195
CUST0608,PROD038,3,10.99,2024-03-05,Online,Not Returned,65,Female,East,Salesperson,Silver,Clothing,Shirts,8.08,10.99,0,14,CAMP048,TV,0.13,6770
CUST0693,PROD057,4,570.59,2024-02-02,Online,Returned,45,Female,East,Artist,Silver,Home,Kitchen,442.47,570.59,0,175,CAMP028,Email,0.14,2819
CUST0804,PROD036,3,497.78,2025-03-11,Offline,Not Returned,42,Male,South,Artist,Bronze,Clothing,Shirts,390.67,497.78,20,118,CAMP030,Print,0.28,3304
CUST0867,PROD086,1,290.81,2023-09-24,Online,Not Returned,44,Other,West,Doctor,Gold,Books,Non-Fiction,232.09,290.81,0,66,CAMP015,Email,0.09,919
CUST0426,PROD042,1,414.51,2025-06-05,Online,Not Returned,50,Other,West,Salesperson,Bronze,Home,Decor,213.43,414.51,5,46,CAMP009,Social Media,0.14,9369
CUST0257,PROD066,3,158.94,2023-12-21,Online,Returned,28,Female,South,Salesperson,Silver,Clothing,Jackets,128.09,158.94,10,191,CAMP031,TV,0.15,6584
CUST0928,PROD036,4,497.78,2023-10-07,Offline,Not Returned,54,Male,North,Doctor,Gold,Clothing,Shirts,390.67,497.78,20,118,CAMP024,Email,0.05,8351
CUST0777,PROD013,1,411.78,2024-08-20,Online,Returned,40,Other,East,Lawyer,Platinum,Books,Comics,268.85,411.78,0,167,CAMP012,Radio,0.28,1905
CUST0074,PROD078,1,258.77,2023-12-06,Offline,Not Returned,66,Male,North,Salesperson,Gold,Beauty,Makeup,167.41,258.77,20,179,CAMP013,TV,0.09,7006
CUST0553,PROD092,2,974.53,2025-01-17,Online,Returned,28,Female,South,Teacher,Platinum,Home,Kitchen,490.72,974.53,20,15,CAMP015,Email,0.09,919
CUST0920,PROD049,4,658.16,2023-08-12,Online,Not Returned,67,Male,East,Artist,Silver,Electronics,Laptops,329.32,658.16,20,182,CAMP029,Social Media,0.23,2626
CUST0146,PROD032,1,291.99,2023-08-20,Online,Not Returned,50,Male,South,Doctor,Silver,Home,Decor,191.05,291.99,10,189,CAMP011,Social Media,0.28,538
CUST0010,PROD034,4,188.89,2025-03-24,Offline,Returned,21,Other,North,Doctor,Platinum,Electronics,Laptops,141.09,188.89,20,123,CAMP032,Social Media,0.05,1064
CUST0121,PROD024,2,426.37,2025-06-01,Online,Returned,44,Male,North,Teacher,Silver,Beauty,Skincare,282.65,426.37,20,69,CAMP041,Social Media,0.07,1206
CUST0229,PROD008,3,348.19,2025-05-09,Offline,Returned,44,Other,North,Artist,Platinum,Beauty,Skincare,269.6,348.19,15,61,CAMP049,Email,0.24,8586
CUST0306,PROD038,3,10.99,2024-01-15,Online,Not Returned,38,Other,North,Artist,Silver,Clothing,Shirts,8.08,10.99,0,14,CAMP019,TV,0.06,614
CUST0213,PROD031,1,579.34,2024-05-03,Offline,Not Returned,54,Other,North,Lawyer,Bronze,Electronics,Cameras,462.43,579.34,20,72,CAMP046,Email,0.23,700
CUST0295,PROD079,4,429.38,2023-11-24,Online,Not Returned,51,Male,South,Lawyer,Platinum,Home,Furniture,255.82,429.38,5,54,CAMP003,Radio,0.18,5134
CUST0756,PROD073,3,650.33,2024-09-21,Offline,Returned,19,Male,East,Doctor,Silver,Electronics,Laptops,346.79,650.33,15,188,CAMP049,Email,0.24,8586
CUST0157,PROD031,1,579.34,2024-12-20,Online,Not Returned,45,Male,East,Lawyer,Gold,Electronics,Cameras,462.43,579.34,20,72,CAMP037,Email,0.24,9416
CUST0121,PROD014,1,420.72,2025-04-26,Online,Returned,44,Male,North,Teacher,Silver,Clothing,Pants,309.02,420.72,15,86,CAMP012,Radio,0.28,1905
CUST0278,PROD009,3,616.24,2025-03-04,Online,Not Returned,25,Male,South,Salesperson,Silver,Books,Non-Fiction,340.86,616.24,5,161,CAMP013,TV,0.09,7006
CUST0258,PROD067,2,199.16,2023-07-02,Offline,Returned,57,Other,North,Artist,Bronze,Books,Comics,143.42,199.16,5,30,CAMP035,Radio,0.09,5354
CUST0363,PROD052,2,239.93,2023-08-02,Online,Not Returned,21,Male,West,Doctor,Silver,Books,Fiction,182.28,239.93,0,24,CAMP031,TV,0.15,6584
CUST0188,PROD009,2,616.24,2025-02-21,Online,Not Returned,52,Female,South,Lawyer,Silver,Books,Non-Fiction,340.86,616.24,5,161,CAMP031,TV,0.15,6584
CUST0591,PROD052,1,239.93,2023-09-10,Offline,Not Returned,23,Female,East,Artist,Gold,Books,Fiction,182.28,239.93,0,24,CAMP034,Email,0.1,8195
CUST0080,PROD089,1,476.87,2024-02-08,Offline,Not Returned,67,Other,West,Teacher,Bronze,Electronics,Cameras,302.32,476.87,0,21,CAMP031,TV,0.15,6584
CUST0857,PROD004,3,510.3,2024-09-03,Offline,Returned,62,Female,East,Teacher,Silver,Home,Furniture,316.46,510.3,15,134,CAMP048,TV,0.13,6770
CUST0750,PROD055,3,407.11,2025-04-30,Offline,Returned,39,Other,East,Artist,Bronze,Beauty,Skincare,324.95,407.11,15,94,CAMP020,TV,0.2,1925
CUST0560,PROD086,3,290.81,2024-01-06,Online,Returned,18,Male,East,Teacher,Silver,Books,Non-Fiction,232.09,290.81,0,66,CAMP028,Email,0.14,2819
CUST0874,PROD090,3,704.66,2025-06-01,Online,Returned,45,Male,West,Engineer,Platinum,Clothing,Jackets,419.44,704.66,15,112,CAMP010,Email,0.09,6096
CUST0796,PROD081,2,577.8,2024-11-01,Offline,Not Returned,46,Male,West,Artist,Bronze,Clothing,Pants,449.24,577.8,15,136,CAMP016,Radio,0.11,9001
CUST0027,PROD066,3,158.94,2025-01-25,Online,Returned,23,Other,East,Teacher,Platinum,Clothing,Jackets,128.09,158.94,10,191,CAMP002,Radio,0.17,3223
CUST0953,PROD055,4,407.11,2024-06-07,Online,Not Returned,39,Other,South,Doctor,Bronze,Beauty,Skincare,324.95,407.11,15,94,CAMP043,Print,0.2,7690
CUST0410,PROD064,4,875.84,2023-08-19,Online,Returned,27,Male,West,Engineer,Bronze,Beauty,Skincare,481.01,875.84,5,168,CAMP017,TV,0.26,3221
CUST0727,PROD053,1,389.2,2025-02-24,Online,Returned,42,Female,West,Lawyer,Gold,Books,Fiction,272.76,389.2,15,60,CAMP015,Email,0.09,919
CUST0727,PROD081,1,577.8,2025-01-25,Online,Not Returned,42,Female,West,Lawyer,Gold,Clothing,Pants,449.24,577.8,15,136,CAMP024,Email,0.05,8351
CUST0051,PROD096,2,22.76,2024-12-02,Offline,Returned,26,Male,West,Artist,Bronze,Home,Furniture,16.19,22.76,5,15,CAMP015,Email,0.09,919
CUST0347,PROD069,2,586.76,2025-01-14,Offline,Returned,20,Male,West,Teacher,Platinum,Electronics,Laptops,368.7,586.76,15,35,CAMP019,TV,0.06,614
CUST0772,PROD060,2,632.18,2023-09-17,Online,Returned,65,Female,South,Teacher,Gold,Electronics,Phones,365.7,632.18,5,91,CAMP002,Radio,0.17,3223
CUST0939,PROD011,2,828.39,2024-04-15,Offline,Not Returned,39,Female,East,Engineer,Bronze,Beauty,Makeup,415.84,828.39,0,151,CAMP002,Radio,0.17,3223
CUST0177,PROD031,4,579.34,2025-03-05,Offline,Returned,50,Other,South,Engineer,Gold,Electronics,Cameras,462.43,579.34,20,72,CAMP005,TV,0.23,3818
CUST0098,PROD098,3,197.25,2025-01-12,Online,Not Returned,64,Other,South,Engineer,Bronze,Books,Comics,115.99,197.25,0,59,CAMP008,Radio,0.08,9694
CUST0827,PROD001,1,151.0,2025-03-25,Online,Not Returned,37,Female,North,Engineer,Bronze,Beauty,Haircare,90.4,151.0,15,130,CAMP016,Radio,0.11,9001
CUST0882,PROD034,1,188.89,2023-07-14,Offline,Not Returned,33,Female,West,Teacher,Platinum,Electronics,Laptops,141.09,188.89,20,123,CAMP042,Print,0.21,6266
CUST0987,PROD003,4,444.43,2024-09-28,Online,Not Returned,64,Other,West,Doctor,Gold,Home,Kitchen,322.07,444.43,20,144,CAMP030,Print,0.28,3304
CUST0239,PROD094,4,534.34,2025-02-22,Offline,Not Returned,40,Male,South,Salesperson,Silver,Books,Comics,418.25,534.34,5,153,CAMP004,TV,0.03,5997
CUST0771,PROD047,4,169.72,2024-08-26,Online,Not Returned,63,Other,North,Lawyer,Gold,Home,Kitchen,97.26,169.72,20,122,CAMP015,Email,0.09,919
CUST0435,PROD079,4,429.38,2025-01-27,Online,Not Returned,63,Female,West,Engineer,Platinum,Home,Furniture,255.82,429.38,5,54,CAMP039,Print,0.18,4569
CUST0106,PROD081,4,577.8,2024-09-24,Online,Returned,27,Other,North,Teacher,Platinum,Clothing,Pants,449.24,577.8,15,136,CAMP011,Social Media,0.28,538
CUST0684,PROD084,1,192.46,2023-12-21,Online,Not Returned,50,Other,South,Doctor,Silver,Clothing,Jackets,138.14,192.46,15,49,CAMP021,Radio,0.12,1050
CUST0660,PROD010,2,418.52,2025-02-27,Offline,Returned,48,Other,West,Artist,Gold,Books,Non-Fiction,232.85,418.52,0,166,CAMP012,Radio,0.28,1905
CUST0897,PROD082,2,319.75,2024-10-13,Online,Returned,20,Male,South,Teacher,Gold,Home,Furniture,186.9,319.75,10,44,CAMP010,Email,0.09,6096
CUST0255,PROD046,3,917.26,2023-08-23,Online,Returned,66,Other,West,Lawyer,Silver,Clothing,Jackets,489.42,917.26,10,188,CAMP044,Radio,0.12,8434
CUST0382,PROD065,4,612.26,2024-12-13,Offline,Returned,45,Other,West,Teacher,Silver,Beauty,Skincare,478.42,612.26,5,107,CAMP026,Radio,0.21,3744
CUST0401,PROD098,1,197.25,2024-11-27,Online,Not Returned,69,Female,East,Teacher,Platinum,Books,Comics,115.99,197.25,0,59,CAMP042,Print,0.21,6266
CUST0908,PROD013,4,411.78,2025-04-01,Online,Returned,54,Other,North,Doctor,Gold,Books,Comics,268.85,411.78,0,167,CAMP013,TV,0.09,7006
CUST0501,PROD087,2,485.74,2024-07-27,Offline,Returned,33,Male,North,Teacher,Gold,Beauty,Makeup,389.18,485.74,20,82,CAMP030,Print,0.28,3304
CUST0228,PROD006,1,714.55,2024-01-12,Online,Not Returned,40,Other,East,Artist,Platinum,Beauty,Skincare,369.85,714.55,0,159,CAMP039,Print,0.18,4569
CUST0372,PROD022,1,45.65,2024-01-17,Offline,Returned,45,Other,West,Teacher,Platinum,Electronics,Phones,32.06,45.65,15,134,CAMP007,Print,0.2,1339
CUST0171,PROD070,4,19.6,2025-04-06,Offline,Not Returned,32,Female,East,Engineer,Platinum,Books,Comics,14.65,19.6,0,150,CAMP020,TV,0.2,1925
CUST0774,PROD004,3,510.3,2024-04-24,Online,Returned,45,Female,North,Salesperson,Silver,Home,Furniture,316.46,510.3,15,134,CAMP039,Print,0.18,4569
CUST0013,PROD068,3,388.11,2023-07-08,Offline,Returned,46,Other,North,Artist,Gold,Home,Decor,207.88,388.11,5,11,CAMP044,Radio,0.12,8434
CUST0909,PROD059,2,267.99,2024-04-11,Online,Returned,69,Other,East,Salesperson,Platinum,Home,Decor,175.4,267.99,10,68,CAMP001,TV,0.22,4310
CUST0431,PROD073,4,650.33,2023-07-23,Offline,Not Returned,37,Other,East,Lawyer,Gold,Electronics,Laptops,346.79,650.33,15,188,CAMP010,Email,0.09,6096
CUST0762,PROD045,2,309.56,2024-04-01,Offline,Not Returned,41,Other,South,Salesperson,Silver,Electronics,Cameras,167.83,309.56,0,104,CAMP027,Social Media,0.26,359
CUST0650,PROD074,4,663.94,2024-06-06,Offline,Returned,41,Female,South,Lawyer,Gold,Beauty,Haircare,359.04,663.94,5,70,CAMP010,Email,0.09,6096
CUST0884,PROD005,1,319.66,2024-07-10,Offline,Not Returned,50,Female,South,Salesperson,Gold,Electronics,Laptops,234.05,319.66,5,196,CAMP001,TV,0.22,4310
CUST0470,PROD059,4,267.99,2024-02-09,Online,Not Returned,55,Other,North,Artist,Silver,Home,Decor,175.4,267.99,10,68,CAMP043,Print,0.2,7690
CUST0069,PROD026,1,67.9,2025-01-16,Online,Not Returned,61,Female,West,Engineer,Platinum,Home,Furniture,44.75,67.9,20,143,CAMP005,TV,0.23,3818
CUST0855,PROD066,1,158.94,2025-03-04,Offline,Returned,46,Other,North,Doctor,Platinum,Clothing,Jackets,128.09,158.94,10,191,CAMP011,Social Media,0.28,538
CUST0734,PROD058,4,23.23,2024-10-23,Offline,Returned,55,Female,West,Teacher,Platinum,Books,Comics,16.63,23.23,0,16,CAMP023,Radio,0.09,4699
CUST0995,PROD041,3,351.46,2025-02-06,Online,Not Returned,57,Female,North,Doctor,Bronze,Books,Non-Fiction,195.31,351.46,20,183,CAMP042,Print,0.21,6266
CUST0468,PROD018,4,10.9,2025-05-17,Offline,Not Returned,39,Other,East,Engineer,Gold,Clothing,Shirts,8.98,10.9,5,107,CAMP036,Email,0.16,7271
CUST0950,PROD099,3,434.26,2024-05-18,Offline,Returned,55,Female,North,Engineer,Bronze,Clothing,Shirts,219.74,434.26,0,74,CAMP020,TV,0.2,1925
CUST0718,PROD042,4,414.51,2024-03-09,Offline,Returned,58,Female,East,Doctor,Platinum,Home,Decor,213.43,414.51,5,46,CAMP043,Print,0.2,7690
CUST0447,PROD031,4,579.34,2024-05-10,Online,Returned,18,Other,West,Doctor,Gold,Electronics,Cameras,462.43,579.34,20,72,CAMP024,Email,0.05,8351
CUST0612,PROD060,3,632.18,2023-11-30,Offline,Returned,68,Female,South,Lawyer,Gold,Electronics,Phones,365.7,632.18,5,91,CAMP008,Radio,0.08,9694
CUST0161,PROD042,1,414.51,2024-11-22,Offline,Returned,62,Male,South,Lawyer,Silver,Home,Decor,213.43,414.51,5,46,CAMP014,TV,0.23,3847
CUST0778,PROD033,4,64.7,2024-12-30,Offline,Returned,35,Female,South,Doctor,Silver,Clothing,Jackets,46.34,64.7,10,11,CAMP038,Social Media,0.25,7042
CUST0867,PROD075,2,929.6,2024-10-17,Online,Returned,44,Other,West,Doctor,Gold,Home,Kitchen,474.28,929.6,20,117,CAMP031,TV,0.15,6584
CUST0233,PROD060,4,632.18,2023-08-26,Offline,Not Returned,59,Male,West,Teacher,Platinum,Electronics,Phones,365.7,632.18,5,91,CAMP043,Print,0.2,7690
CUST0715,PROD059,3,267.99,2023-10-14,Offline,Returned,43,Other,West,Lawyer,Silver,Home,Decor,175.4,267.99,10,68,CAMP046,Email,0.23,700
CUST0911,PROD009,2,616.24,2024-02-11,Offline,Not Returned,47,Male,East,Salesperson,Platinum,Books,Non-Fiction,340.86,616.24,5,161,CAMP015,Email,0.09,919
CUST0426,PROD042,2,414.51,2024-01-17,Offline,Not Returned,50,Other,West,Salesperson,Bronze,Home,Decor,213.43,414.51,5,46,CAMP008,Radio,0.08,9694
CUST0707,PROD083,1,215.27,2024-09-27,Offline,Returned,63,Male,South,Artist,Silver,Home,Decor,140.76,215.27,20,32,CAMP025,Print,0.03,8674
CUST0998,PROD069,3,586.76,2024-11-04,Offline,Returned,22,Male,South,Artist,Bronze,Electronics,Laptops,368.7,586.76,15,35,CAMP033,Radio,0.13,6422
CUST0742,PROD013,2,411.78,2023-11-19,Offline,Returned,43,Female,South,Salesperson,Gold,Books,Comics,268.85,411.78,0,167,CAMP028,Email,0.14,2819
CUST0252,PROD039,3,815.84,2024-03-09,Offline,Not Returned,30,Other,South,Salesperson,Gold,Electronics,Cameras,442.56,815.84,10,140,CAMP023,Radio,0.09,4699
CUST0635,PROD044,2,571.0,2024-01-14,Online,Not Returned,41,Male,South,Artist,Gold,Electronics,Cameras,318.85,571.0,15,193,CAMP037,Email,0.24,9416
CUST0669,PROD019,4,108.07,2023-10-17,Online,Not Returned,30,Female,North,Artist,Silver,Home,Decor,81.69,108.07,10,170,CAMP016,Radio,0.11,9001
CUST0811,PROD038,3,10.99,2025-02-09,Online,Returned,67,Male,East,Salesperson,Silver,Clothing,Shirts,8.08,10.99,0,14,CAMP050,Social Media,0.1,7198
CUST0535,PROD065,2,612.26,2024-11-28,Online,Returned,25,Male,East,Salesperson,Gold,Beauty,Skincare,478.42,612.26,5,107,CAMP001,TV,0.22,4310
CUST0587,PROD055,4,407.11,2023-10-22,Online,Returned,30,Female,East,Doctor,Silver,Beauty,Skincare,324.95,407.11,15,94,CAMP033,Radio,0.13,6422
CUST0991,PROD006,1,714.55,2024-05-25,Offline,Not Returned,27,Other,South,Teacher,Silver,Beauty,Skincare,369.85,714.55,0,159,CAMP019,TV,0.06,614
